amphuren,amphurth,changwat,lat,long,pop,area,zip,location
Akat Amnuai,อากาศอำนวย,Sakon Nakhon,17.59667,103.97500,67328,115.1,47170,POINT(103.97500 17.59667)
Mueang Amnat Charoen,เมืองอำนาจเจริญ,Amnat Charoen,15.85833,104.62944,128992,216.2,37000,POINT(104.62944 15.85833)
Amphawa,อัมพวา,Samut Songkhram,13.42472,99.95722,57161,365.2,75110,POINT(99.95722 13.42472)
Mueang Ang Thong,เมืองอ่างทอง,Ang Thong,14.58861,100.45333,55974,544.5,14000,POINT(100.45333 14.58861)
Ao Luek,อ่าวลึก,Krabi,8.37750,98.72167,48474,62.7,81110,POINT(98.72167 8.37750)
Aranyaprathet,อรัญประเทศ,Sa Kaeo,13.70083,102.51167,83171,101.3,27120,POINT(102.51167 13.70083)
At Samat,อาจสามารถ,Roi Et,15.84361,103.87889,74711,164.4,45160,POINT(103.87889 15.84361)
Bacho,บาเจาะ,Narathiwat,6.51694,101.65167,48605,283.1,96170,POINT(101.65167 6.51694)
Bamnet Narong,บำเหน็จณรงค์,Chaiyaphum,15.50028,101.68639,54750,97.7,36160,POINT(101.68639 15.50028)
Ban Bueng,บ้านบึง,Chonburi,13.31139,101.11222,93401,144.5,20170,POINT(101.11222 13.31139)
Ban Chang,บ้านฉาง,Rayong,12.72833,101.06639,49189,206.3,21130,POINT(101.06639 12.72833)
Ban Dan,บ้านด่าน,Buriram,15.10722,103.17472,30548,123.4,31000,POINT(103.17472 15.10722)
Ban Dan Lan Hoi,บ้านด่านลานหอย,Sukhothai,17.00611,99.57472,42074,41.3,64140,POINT(99.57472 17.00611)
Ban Dung,บ้านดุง,Udon Thani,17.70111,103.25972,123227,133.2,41190,POINT(103.25972 17.70111)
Ban Fang,บ้านฝาง,Khon Kaen,16.45333,102.63833,52999,158.7,40270,POINT(102.63833 16.45333)
Bang Ban,บางบาล,Ayutthaya,14.37361,100.48556,34404,254.3,13250,POINT(100.48556 14.37361)
Bang Bo,บางบ่อ,Samut Prakan,13.57417,100.83611,90226,368,10560,POINT(100.83611 13.57417)
Bang Bon,บางบอน,Thung Saliam,18.694992,98.78977,93225,2683,10150,POINT(98.78977 18.694992)
